d,compute_Mv,compute_gcd,total
5000,0.00104,0.000429,0.001469
10000,0.002388,0.001643,0.004031
15000,0.00396,0.003369,0.007329
20000,0.005222,0.004743,0.009965
25000,0.006998,0.006909,0.013907
30000,0.008345,0.009181,0.017526
35000,0.009767,0.010566,0.020333
40000,0.010763,0.011614,0.022378
45000,0.013269,0.015402,0.028671
50000,0.014697,0.017034,0.031731
55000,0.016297,0.022139,0.038436
60000,0.017413,0.023048,0.040462
65000,0.020546,0.026094,0.04664
70000,0.021042,0.026458,0.0475
75000,0.022483,0.027762,0.050245
80000,0.023572,0.028643,0.052216
85000,0.02721,0.036432,0.063642
90000,0.028264,0.037641,0.065905
95000,0.027948,0.036942,0.06489
100000,0.029184,0.038861,0.068045
105000,0.032766,0.043908,0.076674
110000,0.035595,0.055997,0.091592
115000,0.036199,0.057455,0.093653
120000,0.036292,0.054118,0.09041
125000,0.039863,0.057206,0.09707
130000,0.038012,0.054389,0.0924
135000,0.04264,0.060504,0.103144
140000,0.044199,0.062451,0.10665
145000,0.046015,0.063762,0.109777
150000,0.046496,0.064065,0.11056
155000,0.049943,0.068373,0.118316
160000,0.048179,0.064997,0.113176
165000,0.054459,0.084054,0.138514
170000,0.060425,0.092221,0.152646
175000,0.060947,0.092877,0.153824
180000,0.058723,0.087096,0.145818
185000,0.064212,0.096726,0.160938
190000,0.062633,0.093002,0.155635
195000,0.065141,0.096567,0.161708
200000,0.067072,0.099049,0.166121
