d,k=3,k=5,k=10,k=15,k=20
5000,0.7430131004366813,0.5812826249067861,0.2920353982300885,0.15505617977528088,0.06976744186046513
10000,0.7842306061890632,0.6435171385991058,0.4075911684445547,0.2398243045387994,0.15607300188797987
15000,0.8003681546249426,0.6887342908438061,0.4596807204257061,0.3195530726256984,0.21753515301902399
20000,0.8080445907624108,0.6870175845859207,0.4759658805820371,0.3378978534418949,0.26295280704286333
25000,0.8171639289306067,0.700867643447655,0.4968001725749623,0.36997073884418435,0.27631720141646104
30000,0.8147433119262439,0.7250149328806313,0.5238502795846172,0.37694155324259415,0.29763033175355447
35000,0.8362526579877312,0.7158828600828767,0.5196478630797227,0.3917966632536289,0.30952904123635827
40000,0.8270225984843314,0.7096191479753124,0.5189918670122442,0.39739258946479467,0.3141984344173614
45000,0.821590346770203,0.7274197274197275,0.5371978654389453,0.4241823587710604,0.3243797308662742
50000,0.8351420332774813,0.7266193325541231,0.5368251867259147,0.4163543728156975,0.3306169407027468
55000,0.8333881699203042,0.7580073646911694,0.575996461650536,0.41801982489296874,0.36458333333333337
60000,0.8308211209962922,0.7498002663115846,0.5696208788492907,0.4182745696835091,0.3573990512553511
65000,0.8281793446113807,0.7443978205047911,0.5594768439108061,0.4365038264572185,0.3503198218892462
70000,0.8525837342259803,0.7363544108053253,0.5570105263157894,0.43305330844223194,0.3516410799364743
75000,0.8430652798065783,0.733198704859035,0.5525325903074932,0.4344901119545073,0.34962417643601723
80000,0.8415543464087153,0.7287362231290768,0.548548337674276,0.43513247833939145,0.3534796419289633
85000,0.8374980900104608,0.7501928300747847,0.5724521542377674,0.4768963059247767,0.3669524207216723
90000,0.8388370483178734,0.751438881594702,0.5711402776724073,0.4717877647990497,0.3667525169749474
95000,0.8331347261275117,0.748628774115408,0.5693018955154877,0.4557463920625376,0.3674748695905255
100000,0.8467814824335194,0.7467815475392249,0.571107355426556,0.4549606017191977,0.36952022974913423
105000,0.8479162449945034,0.7456875740683844,0.5726582674700681,0.4539149719956395,0.3671451164094249
110000,0.848110157120658,0.7814986936996593,0.6113743558389378,0.44957639155790985,0.4083171295447041
115000,0.8456085573865278,0.7800488013247746,0.6134880890094284,0.4504658112146247,0.405791041655778
120000,0.8440808780491743,0.773292470449617,0.5985842274084725,0.4483645892530151,0.396470546587369
125000,0.8408904494480065,0.765778898650334,0.5893272895848357,0.47031441294784,0.3860119372282566
130000,0.8444344174100171,0.7590034159301632,0.5886255411255411,0.4710317310475902,0.38678169229039155
135000,0.8649976392292645,0.7567095811867257,0.5865973784223998,0.46751137932798037,0.3855314835930571
140000,0.8630408315313187,0.7576640295211204,0.5855696202531646,0.46555011402295415,0.3848696914924843
145000,0.8612012309307124,0.7513173742848539,0.5808320504295071,0.4680553528868135,0.38008573142363905
150000,0.8550172292350454,0.7512121226977023,0.5794591172214182,0.4680989583333333,0.3856152512998267
155000,0.8550777656994734,0.7442566681762925,0.5778846478920856,0.4643580581286843,0.37393542733521373
160000,0.8511931256346766,0.755816280820808,0.5743002049904573,0.47022272786942637,0.3800871221708607
165000,0.8520535410838932,0.7746688886939742,0.6068267467548407,0.5110335155556828,0.4013427376076052
170000,0.8499796113275172,0.7734759519903289,0.6041494700155916,0.5132420424584675,0.40564909470969346
175000,0.847653574352206,0.7708110064656243,0.6037874453921365,0.502810943451509,0.40327249976140234
180000,0.8515121030113731,0.7774280362709367,0.5972925153273259,0.49863992282756997,0.3968442862455506
185000,0.8394622176777671,0.7651372053781198,0.6010140551019648,0.4912072988125501,0.39866442371412547
190000,0.8405928910372864,0.7647151952032876,0.597564815112282,0.4897638450024946,0.3981145333177187
195000,0.843886399348193,0.7681410999630798,0.5971689712320974,0.4809760300416975,0.4049594044024973
200000,0.8497691937780556,0.7638582469119493,0.5962461097633652,0.48693847858075817,0.39852005298329835
