d,k=3,k=5,k=10,k=15,k=20
5000,0.036361,0.090223,0.282473,0.477066,0.737514
10000,0.08531,0.20552,0.673009,1.322859,2.429427
15000,0.146422,0.35051,1.126923,2.380389,3.649328
20000,0.212765,0.510752,1.677409,3.052326,5.5965
25000,0.295548,0.638136,2.004189,4.172234,6.587643
30000,0.336273,0.794239,2.588822,5.486337,8.596766
35000,0.396154,0.960621,3.169357,6.869657,10.61951
40000,0.484409,1.150383,3.801618,7.124363,12.871472
45000,0.562685,1.371705,4.535119,8.295209,15.403316
50000,0.675202,1.411558,4.532398,9.448872,15.123967
55000,0.713574,1.588683,5.224748,10.842698,17.504536
60000,0.747145,1.787349,5.893626,12.522482,19.867916
65000,0.823502,1.973867,6.525723,14.171437,22.076089
70000,0.891379,2.146914,7.14499,15.491668,24.262795
75000,0.974365,2.364187,7.82336,14.972214,26.747667
80000,1.074354,2.560719,8.554502,16.445362,29.219854
85000,1.148121,2.861636,9.538069,17.555579,32.421727
90000,1.237436,3.062093,10.189622,18.866735,34.818565
95000,1.207392,3.059466,10.11764,20.450521,37.520362
100000,1.468734,2.930668,9.646749,21.855083,35.244312
105000,1.551645,3.420853,11.150147,21.486995,37.813483
110000,1.618241,3.617578,11.985317,24.752951,38.936354
115000,1.701592,3.774978,12.545786,24.607626,42.056984
120000,1.534915,3.692159,12.851498,27.784485,43.876356
125000,1.773132,4.243835,14.129802,30.20526,48.152532
130000,1.834757,4.408302,13.649598,31.94099,49.302673
135000,1.896315,4.592965,15.352883,31.542724,52.460939
140000,1.855166,4.49746,16.132045,34.127074,53.755394
145000,1.915816,4.726623,16.93693,32.314543,57.057026
150000,2.019025,5.297249,17.611017,32.622477,59.479092
155000,2.263442,5.511639,18.457213,34.173694,62.36308
160000,2.391229,5.645998,18.505378,35.922342,64.751928
165000,2.395126,5.62158,19.959268,38.288207,71.92253
170000,2.415674,6.6127,22.027345,39.46881,75.122482
175000,2.771397,6.760859,22.699739,40.899053,78.208598
180000,2.855084,6.996033,22.144494,43.535221,78.475107
185000,2.77674,6.839129,24.362022,45.039854,83.262622
190000,3.033716,7.627897,23.487144,47.517861,85.794168
195000,3.113692,7.301272,22.846245,49.12836,78.384424
200000,3.126625,7.161036,23.833674,49.236614,81.312155
