d,HalfGCD,k=3,k=5,k=10,k=15,k=20
5000,0.015306799999999999,0.00458,0.002682,0.001469,0.001335,0.002021
10000,0.0394138,0.011795,0.00671,0.004031,0.003415,0.003178
15000,0.06471339999999999,0.02173,0.013368,0.007329,0.00537,0.004836
20000,0.09830320000000001,0.030679,0.017231,0.009965,0.008106,0.006929
25000,0.1364532,0.044745,0.024434,0.013907,0.010936,0.009319
30000,0.1501386,0.050762,0.031809,0.017526,0.01249,0.011605
35000,0.2110986,0.065369,0.035957,0.020333,0.016603,0.013653
40000,0.2281304,0.073235,0.039858,0.022378,0.018946,0.015713
45000,0.305697,0.078813,0.051948,0.028671,0.021189,0.019024
50000,0.312618,0.102652,0.057323,0.031731,0.023749,0.020861
55000,0.3270074,0.109416,0.071965,0.038436,0.025927,0.02496
60000,0.3473622,0.119483,0.0751,0.040462,0.028816,0.025929
65000,0.365898,0.126795,0.079835,0.04664,0.034758,0.028297
70000,0.4833766,0.154447,0.082774,0.0475,0.038568,0.030224
75000,0.5011106,0.158824,0.088639,0.050245,0.039391,0.032329
80000,0.5202466,0.168714,0.093363,0.052216,0.043743,0.03463
85000,0.5458118,0.170158,0.119276,0.063642,0.047698,0.040711
90000,0.7135496000000001,0.180575,0.121101,0.065905,0.05051,0.04271
95000,0.6758642,0.170353,0.11559,0.06489,0.053216,0.044667
100000,0.7038584,0.241198,0.119312,0.068045,0.05584,0.047356
105000,0.737997,0.251973,0.136698,0.076674,0.053206,0.049953
110000,0.7534612,0.254836,0.166118,0.091592,0.059843,0.054514
115000,0.7614824,0.259425,0.170897,0.093653,0.05689,0.057399
120000,0.7559234,0.247731,0.159558,0.09041,0.063348,0.056496
125000,0.8102926,0.286507,0.180415,0.09707,0.074329,0.064169
130000,0.8064785999999999,0.28811,0.18443,0.0924,0.079449,0.062247
135000,1.0768406,0.355816,0.189058,0.103144,0.078212,0.063144
140000,1.066564,0.330186,0.178855,0.10665,0.080247,0.064731
145000,1.0805602,0.335356,0.185976,0.109777,0.082236,0.068353
150000,1.1222246,0.342151,0.203981,0.11056,0.08448,0.070394
155000,1.149324,0.382688,0.209765,0.118316,0.087874,0.073034
160000,1.1665214,0.375191,0.209842,0.113176,0.091412,0.075067
165000,1.1851738,0.38251,0.239421,0.138514,0.104817,0.091306
170000,1.2325709999999999,0.372756,0.277944,0.152646,0.109613,0.096157
175000,1.5407473999999999,0.418999,0.281798,0.153824,0.109216,0.094301
180000,1.6506894000000003,0.436379,0.295774,0.145818,0.115067,0.094115
185000,1.6289838000000003,0.407823,0.277941,0.160938,0.114868,0.098085
190000,1.6475605999999998,0.439811,0.29687,0.155635,0.12026,0.102468
195000,1.6943294000000002,0.446758,0.308774,0.161708,0.123029,0.102351
200000,1.6572778,0.534431,0.30278,0.166121,0.120966,0.100409
